ds,yhat,yhat_lower,yhat_upper,Type
2023-10-16,5944.760211353211,635.840535393256,11288.234326771682,Past
2023-10-17,5708.093765158191,957.8174666184507,10564.553486344865,Past
2023-10-18,5861.500682703127,224.8081002243837,10796.711820088112,Past
2023-10-19,5397.887050257051,386.2266411365532,10429.242579797648,Past
2023-10-20,5556.647067646674,90.65543797452837,10802.042125863778,Past
2023-10-21,5613.149921042537,392.13283714009714,10963.218327977378,Past
2023-10-22,4988.734264498862,-435.3852851727434,10304.35829458699,Past
2023-10-23,5859.304370257657,379.83947452622795,11213.68375557518,Past
2023-10-24,5597.37020835121,238.84963947339395,10608.51209771307,Past
2023-10-25,5726.857922511594,382.9315844167901,10649.401240037463,Past
2023-10-26,5240.956679052775,-202.66978092990527,10158.80350239093,Past
2023-10-27,5379.3416963641885,-230.49333062036112,10276.789372497191,Past
2023-10-28,5417.659214602308,182.77004586114478,10456.210133931569,Past
2023-10-29,4777.518389615623,-499.5817692057513,9605.571866872471,Past
2023-10-30,5635.3035263351885,388.72904379565927,10943.319099995488,Past
2023-10-31,5363.55183114325,-59.812161648376836,10371.621169453609,Past
2023-11-01,5486.417295799174,596.5718750924062,10784.756605111661,Past
2023-11-02,4997.292631809434,-225.70042789759967,10476.335141437501,Past
2023-11-03,5136.026234279323,-84.11172535309389,10313.246951051384,Past
2023-11-04,5178.40067487447,-241.77169226905102,10338.63703560394,Past
2023-11-05,4546.1178994030715,-651.2297342496901,9646.712568658362,Past
2023-11-06,5415.604771424397,152.25712418384498,10730.576419466357,Past
2023-11-07,5159.38439494378,238.84473267177324,10394.24372939241,Past
2023-11-08,5301.534102183401,4.096672815141515,10749.01639075421,Past
2023-11-09,4835.302308735181,-203.0137998153773,10612.547121290198,Past
2023-11-10,5000.321498681809,-470.625927953313,10324.677152852653,Past
2023-11-11,5072.084111781488,14.883383256167654,10798.754421763715,Past
2023-11-12,4471.926758868387,-793.7433582315216,9337.843947121512,Past
2023-11-13,5375.836624356854,210.9312858901323,10804.214304609,Past
2023-11-14,5155.825663293147,200.26763558746026,10144.388728887245,Past
2023-11-15,5335.173300202754,123.09154742696636,10347.556648770367,Past
2023-11-16,4906.711393961537,-419.0563358556993,10089.795860500713,Past
2023-11-17,5109.385722594978,-140.09392820275056,10207.517238448389,Past
2023-11-18,5217.963684215668,-176.25644213786535,10642.903828938019,Past
2023-11-19,4653.031987182184,-752.9972286337729,9845.915520353972,Past
2023-11-20,5589.818262803741,631.1685428218556,10786.691604041607,Past
2023-11-21,5399.58191122381,191.6478563999051,10641.64488270363,Past
2023-11-22,5605.0948249809735,359.03854892777224,10990.657738649603,Past
2023-11-23,5198.283832109057,-274.4716445557141,10412.981604786033,Past
2023-11-24,5417.471644870714,-199.0917507615392,10616.244686000344,Past
2023-11-25,5536.882501508747,74.9549753655288,10704.773041653963,Past
2023-11-26,4976.6572455549785,-485.4421812192857,10557.238047034512,Past
2023-11-27,5911.690938332473,803.162247826783,11264.247459728527,Past
2023-11-28,5713.037785884249,797.2185575987572,11086.360409382813,Past
2023-11-29,5903.403520398833,744.4662560474175,11025.997488884936,Past
2023-11-30,5474.796614778396,519.8509480218506,10563.36131382605,Past
2023-12-01,5665.774710849942,510.3374848885805,10636.349538291099,Past
2023-12-02,5750.952115417788,608.9338532259451,11422.890713923196,Past
2023-12-03,5151.012861634523,-376.7037464109683,10672.156092323272,Past
2023-12-04,6041.542281679347,562.1135226200771,11097.479280364312,Past
2023-12-05,5794.421828850274,1038.1152767110652,11124.36550534282,Past
2023-12-06,5933.307358789821,584.4307574120132,11248.168267301655,Past
2023-12-07,5451.262433862698,85.23273324600247,10663.055720738612,Past
2023-12-08,5587.983332114126,-39.704069094086904,11222.580679908402,Past
2023-12-09,5619.114307700199,647.5550540825651,10923.309458564805,Past
2023-12-10,4966.736718531257,-731.0252105275007,9970.754713882097,Past
2023-12-11,5807.66837738068,768.369205104421,11010.888498238985,Past
2023-12-12,5514.9957585304455,577.70817806547,10979.64244991432,Past
2023-12-13,5613.521425351367,-17.36527611164438,10961.876531667847,Past
2023-12-14,5097.366764610284,-42.72420083480384,10082.715890570094,Past
2023-12-15,5207.16753471657,649.2932033086198,10184.46967688156,Past
2023-12-16,5219.5293224143425,164.4165289427693,10615.22741411581,Past
2023-12-17,4556.988728969303,-289.51238722250594,9399.911811885095,Past
2023-12-18,5396.794604707807,251.52815694367672,10124.028688390561,Past
